EPSPs recorded with voltage sensitive dye JPW1114 from the CA1 field of rat hippocampal slice,,,,,,,,,,,,,,,,,,,,,,
,,LM input,,,,,,,,,,,OR input,,,,,,,,,
,time,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7",,"location2,7","3,7","4,7","5,7","6,7","8,7","9,7","10,7","11,7","12,7"

23,5.75,0.002576974,0.002291109,0.005043112,-0.005350771,0.003505844,-0.000105275,-0.004129363,0.003723973,0.0058086,-0.00708812,,-0.002065932,0.008227434,0.003860192,0.004591318,0.00234647,0.007373655,-0.000696288,-0.004871733,-0.001404386,0.005131887
24,6,-0.005051697,0.004311655,0.005367356,-0.001871808,0.001246824,-0.003088146,-0.002523359,0.000570466,0.010842145,-0.003481355,,-0.003749318,0.011007841,-0.001312864,0.004582857,0.00701988,0.004421288,-0.008554191,-0.009227802,-0.004096518,0.009330529
25,6.25,-0.000786954,0.00406953,0.002235985,0.000312192,0.001868357,0.002271671,-0.007095443,-0.007235652,0.008491122,-0.004792928,,-0.006241359,0.007726873,0.000215499,0.008834464,-0.000289621,0.011070962,-0.001485759,-0.001501263,-0.003045673,0.011135819
26,6.5,0.005847889,0.00736013,6.21375E-05,-0.00231296,0.00387207,0.009259705,-0.004485555,0.001063903,-0.006624832,-0.003900109,,-0.004144439,0.004297066,0.006497831,0.004000177,-0.006659991,0.000968178,-0.00604222,0.007397585,-0.001596676,0.012778874
27,6.75,0.008507958,-0.00440293,0.001176114,-0.002618692,0.010669108,0.005082682,-0.007032357,0.003203879,-0.002264154,-0.008594845,,-0.002639406,0.002118506,-0.000475082,0.004122079,0.005978435,-0.003886538,0.003654023,-0.000242963,-0.006266562,0.001917541
28,7,0.00736978,-0.005310488,0.001093896,0.000507843,0.003638196,0.001855205,-0.007864276,-0.003714691,0.00961535,-0.00753849,,0.000512569,0.000338877,0.008121622,-0.000698973,-0.003079842,0.004583768,-0.004498409,-0.002975916,-0.009072258,0.000108842
29,7.25,0.006776695,-0.003215665,-0.000885448,0.003176993,0.003879267,-0.000932631,-0.00899945,0.001254481,0.001747449,0.000151524,,-0.000882647,0.000900981,6.36054E-05,-0.003812535,-0.002065505,-0.001191318,-0.002051796,-0.005760173,-0.005763803,-0.005813579
30,7.5,0.001585106,-0.00424817,-0.000703896,0.000717196,-0.004985792,-0.001241962,-0.00837203,0.002632406,-0.002459893,0.000457225,,0.004141513,0.004609009,-0.00419081,0.00043306,0.004930241,0.002710971,0.001341801,0.001907406,-0.004787317,-0.001370027
31,7.75,0.00515305,0.003793799,-0.000842222,-0.006527114,-0.0007618,-0.000653967,0.008007374,-0.006044105,-0.005181445,-0.003342803,,-0.002476721,-0.00054536,0.000364641,-0.009573839,-0.003263031,0.006259802,0.004958373,0.001909872,0.001545429,-0.003253408
32,8,-0.000563189,0.004751545,-0.000598896,0.005389525,0.007184339,0.00193696,0.003619735,0.000200265,0.002838458,-0.005199788,,0.000701567,-0.001005352,0.001788723,-0.002982849,-0.00411674,0.001549126,0.00277035,-0.001528701,0.000504993,-0.002919402
