Vol(mV), Amp(A), SEM(A)
-83,0,0
-73,0,0
-63,0,0
-53,-5.73E-13,3.92E-13
-43,-1.66E-12,8.00E-13
-33,-1.12E-11,2.58E-12
-23,-1.55E-11,2.57E-12
-13,-1.53E-11,1.99E-12
-3,-1.26E-11,2.97E-12
7,-1.25E-11,2.90E-12
17,-1.12E-11,2.55E-12
27,-1.07E-11,3.60E-12
37,-8.31E-12,3.95E-12
