Vol(mV), Amp(A), SEM(A)
-100,0,0
-90,0,0
-80,0,0
-70,0,0
-60,-4.35E-12,1.06E-12
-50,-9.02E-12,1.43E-12
-40,-1.39E-11,4.34E-12
-30,-2.18E-11,3.87E-12
-20,-8.34E-11,1.57E-11
-10,-1.63E-10,1.73E-11
0,-1.78E-10,1.77E-11
10,-1.52E-10,2.04E-11
20,-1.20E-10,1.88E-11
40,-6.41E-11,1.69E-11
60,-2.23E-11,1.76E-11
80,-1.15E-11,1.83E-11
