Time (ms),Light,Current (pA)
638,1,-5.73769
640,1,-5.6116
642,1,-5.66894
644,1,-5.99528
646,1,-6.02022
648,1,-6.35371
650,1,-6.05807
652,1,-6.25108
654,1,-5.98689
656,1,-5.92157
658,1,-6.42045
660,1,-7.53818
662,1,-10.18884
664,1,-9.11917
666,1,-7.96821
668,1,-8.25039
670,1,-7.48604
672,1,-8.66522
674,1,-8.21314
676,1,-7.34443
678,1,-7.43121
680,1,-7.42025
682,1,-7.15112
684,1,-7.28667
686,1,-7.22333
688,1,-7.61313
690,1,-7.93468
692,1,-6.93613
694,1,-6.76493
696,1,-6.77553
698,1,-6.64572
700,1,-7.04207
702,1,-7.32497
704,1,-7.25814
706,1,-7.26837
708,1,-8.58614
710,1,-7.72642
712,1,-7.29228
714,1,-7.37414
716,1,-7.1754
718,1,-7.03846
720,1,-6.6756
722,1,-7.21519
724,1,-7.18573
726,1,-6.86193
728,1,-7.20805
730,1,-7.16199
732,1,-6.60348
734,1,-6.41206
736,1,-6.24438
738,1,-6.37841
740,1,-6.55497
742,1,-6.37421
744,1,-6.36962
746,1,-6.49505
748,1,-6.15483
750,1,-5.6746
752,1,-5.37699
754,1,-5.17102
756,1,-5.13869
758,1,-5.18835
760,1,-5.19307
762,1,-5.48575
764,1,-5.47805
766,1,-5.79105
768,1,-6.00332
770,1,-6.06855
772,1,-5.21698
774,1,-5.2915
776,1,-4.94889
778,1,-4.86083
780,1,-5.07427
782,1,-5.22906
784,1,-5.23287
786,1,-5.12803
788,1,-5.42389
790,1,-5.55066
792,1,-5.18345
794,1,-4.98345
796,1,-4.9795
798,1,-4.98035
800,1,-5.30352
802,1,-5.50602
804,1,-5.55735
806,1,-5.82069
808,1,-6.19917
810,1,-5.9864
812,1,-5.75429
814,1,-6.00881
816,1,-5.77241
818,1,-5.68998
820,1,-6.15613
822,1,-6.32094
824,1,-6.65659
826,1,-6.56629
828,1,-6.83004
830,1,-7.11115
832,1,-6.70429
834,1,-7.0015
836,1,-7.24568
838,1,-7.19818
840,1,-7.23446
842,1,-7.47088
844,1,-7.40461
846,1,-7.86866
848,1,-7.24047
850,1,-7.40373
852,1,-7.54541
854,1,-7.65407
856,1,-8.26135
858,1,-7.84965
860,1,-7.57203
862,1,-7.92272
864,1,-8.33932
866,1,-8.50447
868,1,-8.4625
870,1,-7.77137
872,1,-7.18054
874,1,-7.38292
876,1,-7.29264
878,1,-7.46265
880,1,-8.01816
882,1,-8.1012
884,1,-8.14581
886,1,-8.03001
888,1,-7.4995
890,1,-6.86267
892,1,-6.5964
894,1,-6.48837
896,1,-6.16328
898,1,-6.39407
900,1,-6.53363
902,1,-7.1622
904,1,-7.21047
906,1,-7.02985
908,1,-6.64861
910,1,-6.25723
912,1,-5.93187
914,1,-5.43019
916,1,-5.98663
918,1,-6.15679
