Time (ms),Light,Current (pA)
0,0,-5.55889
2,0,-5.66269
4,0,-5.46366
6,0,-5.10741
8,0,-4.87016
10,0,-5.12204
12,0,-5.39905
14,0,-5.37109
16,0,-5.41386
18,0,-5.21298
20,0,-5.00175
22,0,-5.11257
24,0,-5.31487
26,0,-5.17167
28,0,-4.87587
30,0,-5.31215
32,0,-4.87979
34,0,-4.66642
36,0,-4.96018
38,0,-4.92412
40,0,-4.71572
42,0,-4.754
44,0,-4.75786
46,0,-4.92048
48,0,-4.76103
50,0,-4.90667
52,0,-4.67117
54,0,-4.65933
56,0,-5.05003
58,0,-4.79735
60,0,-4.75604
62,0,-5.02435
64,0,-4.80429
66,0,-4.85165
68,0,-4.76281
70,0,-4.80621
72,0,-4.9666
74,0,-4.99662
76,0,-5.15111
78,0,-5.01804
80,0,-5.04374
82,0,-5.23293
84,0,-4.89507
86,0,-4.19088
88,0,-4.35457
90,0,-4.57264
92,0,-4.84042
94,0,-5.35266
96,0,-5.60843
98,0,-5.42917
100,0,-5.65268
102,0,-5.79012
104,0,-5.80922
106,0,-6.97939
108,0,-5.32902
110,0,-4.79828
112,0,-4.61322
114,0,-4.74112
116,0,-5.02443
118,0,-4.93354
120,0,-5.29558
122,0,-5.09782
124,0,-5.19404
126,0,-5.23113
128,0,-5.02081
130,0,-4.82835
132,0,-4.85836
134,0,-4.44327
136,0,-4.73509
138,0,-4.5958
140,0,-5.49952
142,0,-5.51042
144,0,-5.52148
146,0,-5.36753
148,0,-5.34551
150,0,-5.21039
152,0,-5.16458
154,0,-4.88305
156,0,-4.4523
158,0,-4.13902
160,0,-4.03775
162,0,-4.30384
164,0,-4.26741
166,0,-4.32933
168,0,-4.73912
170,0,-4.73397
172,0,-4.52866
174,0,-4.56518
176,0,-4.56938
178,0,-4.13925
180,0,-4.2504
182,0,-4.36723
184,0,-4.32706
186,0,-4.27501
188,0,-4.50924
190,0,-4.60448
192,0,-4.38298
194,0,-4.21214
196,0,-4.32822
198,0,-4.97176
200,1,-4.50115
202,1,-4.31856
204,1,-4.27322
206,1,-4.20759
208,1,-4.11163
210,1,-4.16014
212,1,-4.33482
214,1,-4.40237
216,1,-4.44776
218,1,-4.58697
220,1,-4.61155
222,1,-4.76338
224,1,-4.80188
226,1,-4.29288
228,1,-4.43365
230,1,-4.63604
232,1,-4.97931
234,1,-5.44039
236,1,-5.85969
238,1,-6.6124
240,1,-8.46216
242,1,-8.63218
244,1,-11.45437
246,1,-11.69613
248,1,-11.23846
250,1,-13.70726
252,1,-13.81787
254,1,-14.25366
256,1,-15.71117
258,1,-17.03115
260,1,-18.6643
262,1,-24.34501
264,1,-24.98648
266,1,-20.34141
268,1,-17.10319
270,1,-21.2949
272,1,-15.33272
274,1,-16.08579
276,1,-30.96875
278,1,-30.4853
280,1,-16.7745
282,1,-19.08671
284,1,-19.03336
286,1,-15.5514
288,1,-18.02684
290,1,-20.77615
292,1,-16.97576
294,1,-13.95569
296,1,-14.08531
298,1,-13.43969
300,1,-18.09722
302,1,-17.75371
304,1,-13.99629
306,1,-13.83736
308,1,-15.94181
310,1,-15.34131
312,1,-15.43167
314,1,-10.51133
316,1,-9.11683
318,1,-9.84693
320,1,-10.93733
322,1,-12.68983
324,1,-12.48029
326,1,-15.28839
328,1,-10.22309
330,1,-8.34056
332,1,-8.19669
334,1,-9.60633
336,1,-9.23409
338,1,-11.16262
340,1,-9.05541
342,1,-7.59874
344,1,-7.23487
346,1,-7.09968
348,1,-6.89129
350,1,-6.75482
352,1,-6.73471
354,1,-7.11903
356,1,-7.32212
358,1,-7.12205
360,1,-7.07227
362,1,-7.19774
364,1,-6.71512
366,1,-6.33734
368,1,-6.21587
370,1,-6.11938
372,1,-5.93669
374,1,-5.82732
376,1,-5.6113
378,1,-5.68597
380,1,-5.95014
382,1,-5.58111
384,1,-5.6628
386,1,-5.22569
388,1,-4.83695
390,1,-4.71763
392,1,-4.43957
394,1,-4.57309
396,1,-4.56368
398,1,-4.78069
400,1,-5.34734
402,1,-5.25233
404,1,-5.11227
406,1,-5.0401
408,1,-4.88992
410,1,-4.96147
412,1,-4.61427
414,1,-4.3671
416,1,-5.09561
418,1,-4.51217
420,1,-4.81303
422,1,-5.26813
424,1,-5.04896
426,1,-4.84697
428,1,-4.61694
430,1,-4.61369
432,1,-4.0263
434,1,-3.72666
436,1,-3.94502
438,1,-4.02129
440,1,-4.10705
442,1,-4.09001
444,1,-4.15869
446,1,-4.22191
448,1,-4.24517
450,1,-3.92956
452,1,-3.67064
454,1,-3.55611
456,1,-3.86734
458,1,-3.81851
460,1,-4.04474
462,1,-4.1026
464,1,-3.93262
466,1,-4.13991
468,1,-4.16353
470,1,-4.17337
472,1,-4.07056
474,1,-4.28536
476,1,-4.00159
478,1,-3.75169
480,1,-3.88935
482,1,-3.85703
484,1,-4.02326
486,1,-3.96168
488,1,-4.12
490,1,-4.06255
492,1,-3.69064
494,1,-3.91226
496,1,-3.50969
498,1,-3.46697
500,1,-3.47296
502,1,-3.51905
504,1,-3.24214
506,1,-2.98051
508,1,-3.23517
510,1,-3.60745
512,1,-3.74738
514,1,-3.97183
516,1,-4.06548
518,1,-4.20138
520,1,-4.00399
522,1,-4.05478
524,1,-3.77132
526,1,-3.5485
528,1,-3.82865
530,1,-4.1557
532,1,-4.05034
534,1,-4.31527
536,1,-4.19428
538,1,-4.44251
540,1,-4.60787
542,1,-4.42678
544,1,-4.31285
546,1,-4.28008
548,1,-3.89275
550,1,-3.95025
552,1,-4.34757
554,1,-4.0491
556,1,-4.38495
558,1,-4.41409
560,1,-4.44131
562,1,-4.61501
564,1,-4.58329
566,1,-3.86698
568,1,-4.06366
570,1,-4.04506
572,1,-3.83507
574,1,-3.80685
576,1,-4.43785
578,1,-4.72951
580,1,-5.14534
582,1,-5.28572
584,1,-4.77836
586,1,-4.11119
588,1,-4.13415
590,1,-3.9636
592,1,-4.22305
594,1,-4.16797
596,1,-4.34827
598,1,-4.92404
600,1,-5.05759
602,1,-5.1854
604,1,-5.0511
606,1,-5.19104
608,1,-5.03829
610,1,-4.58494
612,1,-4.50855
614,1,-4.3957
616,1,-4.5443
618,1,-4.50615
620,1,-4.69124
622,1,-5.14009
624,1,-5.355
626,1,-5.11627
628,1,-5.17638
630,1,-5.2221
632,1,-5.26065
634,1,-5.92405
636,1,-6.54985
638,1,-5.61523
640,1,-5.73118
642,1,-5.7452
644,1,-5.77073
646,1,-6.06515
648,1,-7.53653
650,1,-6.22876
652,1,-5.8256
654,1,-6.0737
656,1,-6.35374
658,1,-7.0726
660,1,-6.77374
662,1,-7.7912
664,1,-6.44307
666,1,-6.10628
668,1,-6.15947
670,1,-6.56612
672,1,-6.08714
674,1,-5.9156
676,1,-5.67773
678,1,-5.79032
680,1,-6.00156
682,1,-6.91217
684,1,-5.80784
686,1,-5.53678
688,1,-5.94069
690,1,-5.93358
692,1,-5.7449
694,1,-6.05991
696,1,-6.17487
698,1,-6.13344
700,1,-6.36251
702,1,-6.18002
704,1,-5.81603
706,1,-5.82798
708,1,-5.5452
710,1,-5.56322
712,1,-5.63061
714,1,-5.91036
716,1,-6.38442
718,1,-6.0587
720,1,-6.27542
722,1,-6.2756
724,1,-6.00097
726,1,-5.8313
728,1,-5.77647
730,1,-5.33374
732,1,-5.14563
734,1,-5.05334
736,1,-5.52218
738,1,-5.5466
740,1,-5.57367
742,1,-5.5122
744,1,-5.36633
746,1,-5.22699
748,1,-4.88543
750,1,-4.50777
752,1,-4.55116
754,1,-4.50171
756,1,-4.56035
758,1,-4.99434
760,1,-5.43799
762,1,-5.64604
764,1,-5.56432
766,1,-5.55716
768,1,-5.33733
770,1,-4.8097
772,1,-4.80969
774,1,-4.84
776,1,-4.90691
778,1,-4.93238
780,1,-5.01678
782,1,-5.24574
784,1,-5.14835
786,1,-5.12661
788,1,-5.19943
790,1,-5.34826
792,1,-5.23551
794,1,-5.28005
796,1,-5.60286
798,1,-5.18015
800,1,-5.08427
802,1,-5.33123
804,1,-5.34611
806,1,-5.12599
808,1,-5.12059
810,1,-4.96043
812,1,-4.89632
814,1,-5.27765
816,1,-5.48891
818,1,-5.39347
820,1,-5.61102
822,1,-5.51398
824,1,-5.70867
826,1,-5.53349
828,1,-5.39056
830,1,-5.41724
832,1,-5.57963
834,1,-5.92778
836,1,-5.95828
838,1,-6.12329
840,1,-6.41166
842,1,-6.31489
844,1,-5.99553
846,1,-6.83879
848,1,-6.61091
850,1,-6.06765
852,1,-5.96099
854,1,-6.50122
856,1,-6.80931
858,1,-6.99592
860,1,-7.00221
862,1,-7.17803
864,1,-7.5842
866,1,-6.9232
868,1,-7.7246
870,1,-7.77469
872,1,-6.41363
874,1,-6.92706
876,1,-7.32931
878,1,-7.35297
880,1,-7.79879
882,1,-7.38928
884,1,-7.05605
886,1,-7.20521
888,1,-6.75937
890,1,-6.48416
892,1,-6.54221
894,1,-6.72476
896,1,-6.98663
898,1,-6.8168
900,1,-6.96328
902,1,-7.20478
904,1,-6.61168
906,1,-6.58071
908,1,-6.24336
910,1,-5.92339
912,1,-5.86651
914,1,-5.76753
916,1,-5.65539
918,1,-5.78287
920,1,-5.86546
922,1,-5.86615
924,1,-5.99924
926,1,-6.19598
928,1,-6.13733
930,1,-5.78199
932,1,-5.83605
934,1,-5.74059
936,1,-5.28104
938,1,-5.2963
940,1,-5.44289
942,1,-5.51961
944,1,-5.72451
946,1,-6.03398
948,1,-6.00002
950,1,-5.79982
952,1,-5.25606
954,1,-5.37356
956,1,-5.48326
958,1,-5.28863
960,1,-5.22682
962,1,-5.21404
964,1,-5.39117
966,1,-5.42399
968,1,-5.62698
970,1,-5.93816
972,1,-5.84318
974,1,-5.52838
976,1,-5.69741
978,1,-5.6959
980,1,-5.77688
982,1,-6.02879
984,1,-5.95569
986,1,-5.71598
988,1,-5.53847
990,1,-5.59161
992,1,-5.97764
994,1,-6.20287
996,1,-6.34885
998,1,-6.72324
1000,1,-6.52176
1002,1,-6.70867
1004,1,-6.26735
1006,1,-6.04854
1008,1,-5.70903
1010,1,-5.62893
1012,1,-5.59832
1014,1,-5.83053
1016,1,-6.05152
1018,1,-5.83388
1020,1,-6.37807
1022,1,-6.5401
1024,1,-6.78532
1026,1,-7.04223
1028,1,-6.83321
1030,1,-6.84718
1032,1,-6.56478
1034,1,-6.33726
1036,1,-6.28472
1038,1,-6.35315
1040,1,-6.33974
1042,1,-7.42635
1044,1,-6.37644
1046,1,-6.02275
1048,1,-6.3444
1050,1,-6.3371
1052,1,-6.21777
1054,1,-6.1421
1056,1,-6.60924
1058,1,-6.54195
1060,1,-5.90508
1062,1,-6.12365
1064,1,-5.90951
1066,1,-5.77243
1068,1,-6.05967
1070,1,-5.83499
1072,1,-6.07055
1074,1,-6.25028
1076,1,-6.13447
1078,1,-6.26212
1080,1,-6.68609
1082,1,-6.45232
1084,1,-6.13733
1086,1,-6.1475
1088,1,-5.62203
1090,1,-5.78286
1092,1,-6.07007
1094,1,-6.14968
1096,1,-6.2289
1098,1,-6.06417
1100,1,-6.10193
1102,1,-5.97299
1104,1,-5.80962
1106,1,-5.52126
1108,1,-5.41583
1110,1,-5.35103
1112,1,-5.06127
1114,1,-5.32302
1116,1,-5.75357
1118,1,-5.62897
1120,1,-5.58437
1122,1,-5.76467
1124,1,-5.54967
1126,1,-5.64433
1128,1,-5.68534
1130,1,-5.60141
1132,1,-5.62764
1134,1,-5.65586
1136,1,-5.80262
1138,1,-5.71535
1140,1,-5.85737
1142,1,-5.60768
1144,1,-5.45575
1146,1,-5.23736
