Time (ms),Light,Current (pA)
1248,1,-53.34473
1252,1,-53.43624
1256,1,-53.48837
1260,1,-53.93913
1264,1,-54.16082
1268,1,-54.03103
1272,1,-53.9949
1276,1,-53.26506
1280,1,-53.34011
1284,1,-53.29435
1288,1,-53.14979
1292,1,-53.77359
1296,1,-54.70642
1300,1,-53.01028
1304,1,-52.84679
1308,1,-53.67839
1312,1,-54.98587
1316,1,-54.76241
1320,1,-52.51647
1324,1,-51.71332
1328,1,-51.61652
1332,1,-52.46044
1336,1,-51.47943
1340,1,-51.26935
1344,1,-52.10253
1348,1,-52.72231
1352,1,-53.76827
1356,1,-53.4865
1360,1,-52.79515
1364,1,-51.89174
1368,1,-51.53151
1372,1,-51.7043
1376,1,-51.15869
1380,1,-51.8358
1384,1,-51.88734
1388,1,-51.97916
1392,1,-51.61642
1396,1,-51.11701
1400,1,-51.71586
1404,1,-53.19842
1408,1,-54.18452
1412,1,-53.31178
1416,1,-53.10151
1420,1,-53.34595
1424,1,-52.88961
1428,1,-53.21224
1432,1,-52.98629
1436,1,-52.06917
1440,1,-53.3668
1444,1,-53.89229
1448,1,-53.16398
1452,1,-52.8109
1456,1,-52.25585
1460,1,-52.35004
1464,1,-51.61881
1468,1,-51.30341
1472,1,-52.38948
1476,1,-53.57076
1480,1,-54.17882
1484,1,-53.69222
1488,1,-53.4252
1492,1,-52.23011
1496,1,-54.05016
1500,1,-53.82856
1504,1,-52.94059
1508,1,-53.58804
1512,1,-54.15852
1516,1,-54.92655
1520,1,-53.6725
1524,1,-52.25685
1528,1,-51.14359
1532,1,-50.53962
1536,1,-50.5997
1540,1,-50.37263
1544,1,-51.38573
1548,1,-52.14833
1552,1,-52.06707
1556,1,-51.5802
1560,1,-51.5659
1564,1,-52.35082
1568,1,-52.11895
1572,1,-52.23402
1576,1,-51.02465
1580,1,-50.39667
1584,1,-50.40958
1588,1,-51.25628
1592,1,-52.59974
1596,1,-52.44529
1600,1,-52.3527
1604,1,-51.421
1608,1,-50.06184
1612,1,-50.3818
1616,1,-50.47033
1620,1,-50.83342
1624,1,-51.79816
1628,1,-51.77348
1632,1,-51.11066
1636,1,-50.81757
1640,1,-51.18587
1644,1,-51.52618
1648,1,-50.46244
1652,1,-50.77062
1656,1,-50.56124
1660,1,-50.31605
1664,1,-51.04818
1668,1,-52.21355
1672,1,-52.13589
1676,1,-51.55193
1680,1,-51.13487
1684,1,-51.26974
1688,1,-51.0425
1692,1,-50.98149
1696,1,-51.38044
1700,1,-51.09951
1704,1,-51.34904
1708,1,-51.78853
1712,1,-51.20738
1716,1,-50.84298
1720,1,-50.15921
1724,1,-49.64221
1728,1,-50.24712
1732,1,-49.7353
1736,1,-50.15746
1740,1,-51.34412
1744,1,-52.76326
1748,1,-54.11749
1752,1,-53.61152
1756,1,-53.9726
1760,1,-53.01077
1764,1,-52.22677
1768,1,-52.02392
1772,1,-51.18455
1776,1,-50.99967
1780,1,-51.32297
1784,1,-51.42554
1788,1,-51.66119
1792,1,-51.75045
1796,1,-51.28702
1800,1,-51.41999
1804,1,-51.5651
1808,1,-53.10812
1812,1,-53.24399
1816,1,-52.08021
1820,1,-52.25767
1824,1,-51.47332
1828,1,-51.94266
1832,1,-50.9142
1836,1,-50.83154
1840,1,-50.75431
1844,1,-51.53393
1848,1,-51.63596
1852,1,-50.97588
1856,1,-51.13105
1860,1,-51.63126
1864,1,-50.72137
1868,1,-50.81911
1872,1,-50.33297
1876,1,-51.00095
1880,1,-51.51136
1884,1,-51.81002
1888,1,-52.11343
1892,1,-52.06906
1896,1,-52.14122
1900,1,-51.45782
1904,1,-51.07318
1908,1,-51.18649
1912,1,-50.91738
1916,1,-50.87069
1920,1,-50.86332
1924,1,-51.41416
1928,1,-51.86554
1932,1,-51.21154
1936,1,-50.81191
1940,1,-50.52411
1944,1,-50.13519
1948,1,-51.11044
1952,1,-52.81573
1956,1,-52.86356
1960,1,-52.1669
1964,1,-52.30553
1968,1,-52.76342
1972,1,-52.12508
1976,1,-53.96109
1980,1,-55.44355
1984,1,-54.05495
1988,1,-53.94675
1992,1,-54.77332
1996,1,-53.58387
2000,1,-51.96759
2004,1,-52.00797
2008,1,-51.5127
2012,1,-52.28284
2016,1,-52.14441
2020,1,-52.60441
2024,1,-53.06522
2028,1,-52.96389
2032,1,-52.58209
2036,1,-53.06665
2040,1,-55.46945
2044,1,-54.98338
2048,1,-53.6568
2052,1,-53.16838
2056,1,-53.89417
2060,1,-53.20331
2064,1,-52.94584
2068,1,-53.39732
2072,1,-54.04789
2076,1,-53.55196
2080,1,-52.64513
2084,1,-52.89319
2088,1,-53.16629
2092,1,-53.91225
2096,1,-54.43351
2100,1,-54.48447
2104,1,-54.14287
2108,1,-53.75125
2112,1,-52.73889
2116,1,-52.19374
2120,1,-53.21254
2124,1,-54.51331
2128,1,-54.59659
2132,1,-52.97489
2136,1,-51.96123
2140,1,-51.28493
2144,1,-50.5803
2148,1,-50.04867
2152,1,-50.03939
2156,1,-50.52349
2160,1,-51.02892
2164,1,-52.01256
2168,1,-51.73972
2172,1,-51.69942
2176,1,-53.41859
2180,1,-53.6395
2184,1,-52.95361
2188,1,-53.0835
2192,1,-53.04562
2196,1,-53.09809
2200,0,-53.34408
2204,0,-53.39222
2208,0,-52.75492
2212,0,-52.34888
2216,0,-52.20076
2220,0,-51.43787
2224,0,-50.37979
2228,0,-50.73438
2232,0,-51.07946
2236,0,-51.35683
2240,0,-51.3245
2244,0,-51.04581
2248,0,-51.07014
2252,0,-52.28727
2256,0,-51.40762
2260,0,-50.79571
2264,0,-51.27308
2268,0,-51.16462
2272,0,-50.68085
2276,0,-50.64617
2280,0,-50.56757
2284,0,-50.31628
2288,0,-50.32453
2292,0,-50.7323
2296,0,-50.59222
2300,0,-49.9751
2304,0,-49.23045
2308,0,-49.00166
2312,0,-49.04029
2316,0,-49.51706
2320,0,-49.7354
2324,0,-50.24094
2328,0,-49.73108
2332,0,-49.86152
2336,0,-49.04182
2340,0,-49.75436
2344,0,-49.65879
2348,0,-49.76506
2352,0,-50.77983
2356,0,-50.39254
2360,0,-49.63475
2364,0,-49.55637
2368,0,-49.49698
2372,0,-49.54585
2376,0,-49.34811
2380,0,-49.82991
2384,0,-50.73805
2388,0,-49.97747
2392,0,-48.74075
2396,0,-48.62303
2400,0,-48.23174
2404,0,-48.49306
2408,0,-48.062
2412,0,-48.45865
2416,0,-48.38679
2420,0,-48.58912
2424,0,-48.73853
2428,0,-48.58465
2432,0,-49.37004
2436,0,-49.42034
2440,0,-49.46753
2444,0,-48.94219
2448,0,-49.35102
2452,0,-49.18258
2456,0,-48.97346
2460,0,-48.62231
2464,0,-49.27066
2468,0,-48.83206
2472,0,-49.41269
2476,0,-49.53346
2480,0,-48.72828
2484,0,-48.84415
2488,0,-49.15889
2492,0,-48.82535
2496,0,-48.63305
2500,0,-48.89946
2504,0,-49.24511
2508,0,-49.68772
2512,0,-50.27884
2516,0,-49.89914
2520,0,-49.31787
2524,0,-49.97779
2528,0,-50.03236
2532,0,-49.88259
2536,0,-49.95544
2540,0,-49.56536
2544,0,-49.28664
2548,0,-50.18997
2552,0,-50.61595
2556,0,-50.67441
2560,0,-50.39981
2564,0,-50.19059
2568,0,-49.68041
2572,0,-49.83077
2576,0,-48.58721
2580,0,-48.5076
2584,0,-48.40681
2588,0,-48.73348
2592,0,-48.73835
2596,0,-48.88508
2600,0,-48.4209
2604,0,-48.67696
2608,0,-49.21961
2612,0,-50.19355
2616,0,-50.03182
2620,0,-49.31728
2624,0,-49.90699
2628,0,-50.23098
2632,0,-49.58932
2636,0,-50.01353
2640,0,-50.09123
2644,0,-50.42003
2648,0,-49.76551
2652,0,-49.64291
2656,0,-49.52681
2660,0,-49.4814
2664,0,-49.59834
