Time (ms),Light,Current (pA)
0,0,-42.79274
4,0,-42.74793
8,0,-43.12606
12,0,-43.40468
16,0,-42.75266
20,0,-42.53376
24,0,-42.79747
28,0,-42.99981
32,0,-43.20156
36,0,-43.38523
40,0,-43.3325
44,0,-43.31348
48,0,-43.87091
52,0,-43.592
56,0,-43.50373
60,0,-43.16729
64,0,-42.95414
68,0,-43.42971
72,0,-43.75055
76,0,-43.6083
80,0,-43.30787
84,0,-43.96107
88,0,-43.85571
92,0,-43.84897
96,0,-43.32476
100,0,-43.20153
104,0,-43.08908
108,0,-43.23951
112,0,-43.18291
116,0,-42.99374
120,0,-42.83403
124,0,-42.79204
128,0,-42.98544
132,0,-43.22191
136,0,-43.1058
140,0,-42.84972
144,0,-43.07011
148,0,-43.50861
152,0,-43.66569
156,0,-43.37878
160,0,-42.92565
164,0,-42.97528
168,0,-43.6218
172,0,-44.02853
176,0,-43.46893
180,0,-43.59019
184,0,-43.83845
188,0,-43.6444
192,0,-44.01817
196,0,-43.57419
200,1,-43.19873
204,1,-43.29566
208,1,-43.49395
212,1,-43.64524
216,1,-43.61663
220,1,-42.95987
224,1,-42.7259
228,1,-42.93522
232,1,-42.94768
236,1,-42.96836
240,1,-43.2293
244,1,-43.11884
248,1,-43.57265
252,1,-43.09362
256,1,-43.45524
260,1,-44.22754
264,1,-44.64445
268,1,-49.14852
272,1,-55.98857
276,1,-71.26581
280,1,-111.96522
284,1,-122.07115
288,1,-135.95197
292,1,-162.24208
296,1,-170.0899
300,1,-178.68483
304,1,-202.58408
308,1,-206.72015
312,1,-198.11516
316,1,-204.25528
320,1,-207.79636
324,1,-208.66626
328,1,-204.42686
332,1,-203.94633
336,1,-181.29095
340,1,-164.3322
344,1,-143.98521
348,1,-133.81728
352,1,-149.36481
356,1,-166.59566
360,1,-159.86314
364,1,-152.32668
368,1,-126.10394
372,1,-101.22735
376,1,-89.56705
380,1,-86.74693
384,1,-84.75967
388,1,-82.29444
392,1,-79.58798
396,1,-75.92
400,1,-74.54584
404,1,-72.95171
408,1,-71.11549
412,1,-69.35754
416,1,-66.24222
420,1,-64.35974
424,1,-62.76081
428,1,-62.08428
432,1,-62.19891
436,1,-61.85153
440,1,-60.71521
444,1,-60.11175
448,1,-59.27641
452,1,-59.3322
456,1,-58.97042
460,1,-58.01847
464,1,-56.07006
468,1,-55.35485
472,1,-55.01638
476,1,-55.34697
480,1,-54.73068
484,1,-54.17855
488,1,-55.55375
492,1,-55.12807
496,1,-52.99886
500,1,-51.84733
504,1,-51.47279
508,1,-50.83202
512,1,-50.12192
516,1,-50.09269
520,1,-50.43293
524,1,-49.9845
528,1,-50.15036
532,1,-51.07925
536,1,-50.41426
540,1,-49.61105
544,1,-49.4137
548,1,-49.72788
552,1,-49.38243
556,1,-48.71416
560,1,-49.64198
564,1,-49.96565
568,1,-50.13356
572,1,-50.49627
576,1,-50.25717
580,1,-49.53529
584,1,-49.03319
588,1,-50.22241
592,1,-50.85143
596,1,-50.79856
600,1,-50.10054
604,1,-49.51414
608,1,-49.68855
612,1,-49.33805
616,1,-49.74958
620,1,-49.52775
624,1,-49.49293
628,1,-49.99479
632,1,-50.06704
636,1,-49.19385
640,1,-49.41771
644,1,-49.98755
648,1,-49.92075
652,1,-50.59884
656,1,-50.87429
660,1,-51.23643
664,1,-51.2969
668,1,-51.19355
672,1,-50.57983
676,1,-50.25612
680,1,-49.97139
684,1,-49.51019
688,1,-49.597
692,1,-50.15717
696,1,-50.11888
700,1,-49.82014
704,1,-49.96378
708,1,-50.50964
712,1,-50.00136
716,1,-49.31574
720,1,-48.68542
724,1,-49.08945
728,1,-49.95029
732,1,-50.19882
736,1,-49.51917
740,1,-49.56168
744,1,-49.4238
748,1,-49.58112
