0.000000 1.000000 -61.700000 	0.000000 	0.000000 	0.000041 	0.000000 	-0.000000 	-0.000000 	0.054189 	0.000000 	0.006584 	0.015000 	0.100000 	124.436213 
0.200000 1.000000 -61.493488 	0.000000 	0.000000 	0.000041 	0.000000 	-0.000000 	-0.000000 	0.055027 	0.000000 	0.006686 	0.025280 	0.100000 	124.436213 
0.400000 1.000000 -61.309674 	0.000000 	0.000000 	0.000041 	0.000041 	-0.000000 	-0.000000 	0.055776 	0.055776 	0.006777 	0.034474 	0.100000 	124.436213 
0.600000 1.000000 -61.115970 	0.000000 	0.000000 	0.000000 	0.000041 	-0.000000 	-0.000000 	0.000000 	0.056565 	0.006873 	0.044157 	0.100000 	124.436213 
0.800000 1.000000 -60.891610 	0.000041 	0.000000 	0.000000 	0.000081 	-0.390703 	-0.000000 	0.000000 	0.114956 	0.006984 	0.055359 	0.100000 	124.436213 
1.000000 1.000000 -60.689404 	0.000081 	0.000000 	0.000000 	0.000081 	-0.779760 	-0.000000 	0.000000 	0.116600 	0.007084 	0.065450 	0.100000 	124.436213 
1.200000 1.000000 -60.506113 	0.000000 	0.000000 	0.000000 	0.000122 	-0.000000 	-0.000000 	0.000000 	0.177151 	0.007175 	0.074657 	0.100000 	124.436213 
1.400000 1.000000 -60.323202 	0.000041 	0.000000 	0.000000 	0.000081 	-0.388386 	-0.000000 	0.000000 	0.119588 	0.007265 	0.083781 	0.100000 	124.436213 
1.600000 1.000000 -60.126367 	0.000122 	0.000000 	0.000041 	0.000122 	-1.162761 	-0.000000 	0.060593 	0.181780 	0.007362 	0.093591 	0.100000 	124.436213 
1.800000 1.000000 -59.978093 	0.000000 	0.000000 	0.000122 	0.000122 	-0.000000 	-0.000000 	0.183608 	0.183608 	0.007436 	0.101069 	0.100000 	124.436213 
2.000000 1.000000 -59.829404 	0.000000 	0.000000 	0.000081 	0.000122 	-0.000000 	-0.000000 	0.123616 	0.185425 	0.007510 	0.108501 	0.100000 	124.436213 
2.200000 1.000000 -59.656475 	0.000000 	0.000000 	0.000081 	0.000081 	-0.000000 	-0.000000 	0.125025 	0.125025 	0.007595 	0.117145 	0.100000 	124.436213 
2.400000 1.000000 -59.521499 	0.000000 	0.000000 	0.000081 	0.000041 	-0.000000 	-0.000000 	0.126125 	0.063062 	0.007662 	0.123891 	0.100000 	124.436213 
2.600000 1.000000 -59.342047 	0.000000 	0.000000 	0.000041 	0.000000 	-0.000000 	-0.000000 	0.063793 	0.000000 	0.007751 	0.132858 	0.100000 	124.436213 
2.800000 1.000000 -59.152960 	0.000000 	0.000000 	0.000122 	0.000081 	-0.000000 	-0.000000 	0.193694 	0.129129 	0.007845 	0.142326 	0.100000 	124.436213 
3.000000 1.000000 -58.982613 	0.000000 	0.000000 	0.000081 	0.000081 	-0.000000 	-0.000000 	0.130517 	0.130517 	0.007929 	0.150840 	0.100000 	124.436213 
3.200000 1.000000 -58.801951 	0.000000 	0.000000 	0.000081 	0.000081 	-0.000000 	-0.000000 	0.131989 	0.131989 	0.008019 	0.159874 	0.100000 	124.436213 
3.400000 1.000000 -58.622449 	0.000041 	0.000000 	0.000081 	0.000122 	-0.381456 	-0.000000 	0.133449 	0.200174 	0.008107 	0.168834 	0.100000 	124.436213 
3.600000 1.000000 -58.478949 	0.000041 	0.000000 	0.000122 	0.000122 	-0.380871 	-0.000000 	0.201929 	0.201929 	0.008178 	0.176013 	0.100000 	124.436213 
3.800000 1.000000 -58.328378 	0.000000 	0.000000 	0.000081 	0.000163 	-0.000000 	-0.000000 	0.135849 	0.271699 	0.008253 	0.183561 	0.100000 	124.436213 
4.000000 1.000000 -58.185006 	0.000000 	0.000000 	0.000041 	0.000081 	-0.000000 	-0.000000 	0.068508 	0.137016 	0.008324 	0.190720 	0.100000 	124.436213 
4.200000 1.000000 -58.042483 	0.000000 	0.000000 	0.000041 	0.000122 	-0.000000 	-0.000000 	0.069089 	0.207267 	0.008395 	0.197850 	0.100000 	124.436213 
4.400000 1.000000 -57.872180 	0.000000 	0.000000 	0.000041 	0.000285 	-0.000000 	-0.000000 	0.069784 	0.488489 	0.008479 	0.206380 	0.100000 	124.436213 
